2023-12-29 01:50:04,612 INFO    MainThread:84967 [wandb_setup.py:_flush():68] Configure stats pid to 84967
2023-12-29 01:50:04,613 INFO    MainThread:84967 [wandb_setup.py:_flush():68] Loading settings from /home/paperspace/.config/wandb/settings
2023-12-29 01:50:04,613 INFO    MainThread:84967 [wandb_setup.py:_flush():68] Loading settings from /home/paperspace/Documents/plant_pathology/notebooks/wandb/settings
2023-12-29 01:50:04,613 INFO    MainThread:84967 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-12-29 01:50:04,613 INFO    MainThread:84967 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-12-29 01:50:04,613 INFO    MainThread:84967 [wandb_init.py:_log_setup():476] Logging user logs to /home/paperspace/Documents/plant_pathology/notebooks/wandb/run-20231229_015004-38jm7x5t/logs/debug.log
2023-12-29 01:50:04,613 INFO    MainThread:84967 [wandb_init.py:_log_setup():477] Logging internal logs to /home/paperspace/Documents/plant_pathology/notebooks/wandb/run-20231229_015004-38jm7x5t/logs/debug-internal.log
2023-12-29 01:50:04,614 INFO    MainThread:84967 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f927c5751f0>
2023-12-29 01:50:04,615 INFO    MainThread:84967 [wandb_init.py:init():516] calling init triggers
2023-12-29 01:50:04,615 INFO    MainThread:84967 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'model_name': 'resnet32', 'dataset_name': 'plant_pathology', 'epochs': 50, 'batch_size': 256, 'learning_rate': 0.001, 'optimizer': 'Adam', 'weights_path': '../../weights/res32_horizontal_flip_random_rotate/', 'horizontal_flip': True, 'random_rotation': True, 'normalize': True}
2023-12-29 01:50:04,615 INFO    MainThread:84967 [wandb_init.py:init():569] starting backend
2023-12-29 01:50:04,615 INFO    MainThread:84967 [wandb_init.py:init():573] setting up manager
2023-12-29 01:50:04,620 INFO    MainThread:84967 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-12-29 01:50:04,623 INFO    MainThread:84967 [wandb_init.py:init():580] backend started and connected
2023-12-29 01:50:04,635 INFO    MainThread:84967 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2023-12-29 01:50:04,636 INFO    MainThread:84967 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-12-29 01:50:04,636 INFO    MainThread:84967 [wandb_init.py:init():658] updated telemetry
2023-12-29 01:50:04,684 INFO    MainThread:84967 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-12-29 01:50:04,855 INFO    MainThread:84967 [wandb_run.py:_on_init():2000] communicating current version
2023-12-29 01:50:04,936 INFO    MainThread:84967 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.16.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-12-29 01:50:04,936 INFO    MainThread:84967 [wandb_init.py:init():728] starting run threads in backend
2023-12-29 01:50:05,277 INFO    MainThread:84967 [wandb_run.py:_console_start():1980] atexit reg
2023-12-29 01:50:05,277 INFO    MainThread:84967 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-12-29 01:50:05,277 INFO    MainThread:84967 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-12-29 01:50:05,277 INFO    MainThread:84967 [wandb_run.py:_redirect():1925] Redirects installed.
2023-12-29 01:50:05,278 INFO    MainThread:84967 [wandb_init.py:init():765] run started, returning control to user process
2023-12-29 02:07:58,090 INFO    MainThread:84967 [wandb_init.py:_pause_backend():389] pausing backend
2023-12-29 02:07:58,090 INFO    MainThread:84967 [jupyter.py:save_ipynb():378] not saving jupyter notebook
